recv_ts_utc,exch_ts_ms,inst_id,side,pos_side,sz,bk_px,raw_json
2026-08-30T20:31:20.376815Z,1788121879275,GRAM-USDT-SWAP,sell,long,144,1.367,"{""bkLoss"":""0"",""bkPx"":""1.367"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""144"",""ts"":""1788121879275""}"
2026-08-30T20:31:27.117047Z,1788121886092,SOL-USDT-SWAP,sell,long,1.09,105.04,"{""bkLoss"":""0"",""bkPx"":""105.04"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""1.09"",""ts"":""1788121886092""}"
2026-08-30T20:31:29.201481Z,1788121888124,SOL-USDT-SWAP,sell,long,0.23,105.01,"{""bkLoss"":""0"",""bkPx"":""105.01"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""0.23"",""ts"":""1788121888124""}"
2026-08-30T20:31:29.546188Z,1788121888312,BONK-USDT-SWAP,sell,long,34686,0.000002914,"{""bkLoss"":""0"",""bkPx"":""0.000002914"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""34686"",""ts"":""1788121888312""}"
2026-08-30T20:31:29.995468Z,1788121888505,DOGE-USDT-SWAP,sell,long,0.91,0.08527,"{""bkLoss"":""0"",""bkPx"":""0.08527"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""0.91"",""ts"":""1788121888505""}"
2026-08-30T20:31:30.139645Z,1788121888571,RE-USDT-SWAP,sell,long,3,0.48233,"{""bkLoss"":""0"",""bkPx"":""0.48233"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""3"",""ts"":""1788121888571""}"
2026-08-30T20:31:30.581180Z,1788121888735,WIF-USDT-SWAP,sell,long,2336,0.1988,"{""bkLoss"":""0"",""bkPx"":""0.1988"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""2336"",""ts"":""1788121888735""}"
2026-08-30T20:31:30.794467Z,1788121890093,HYPE-USDT-SWAP,sell,long,21,82.045,"{""bkLoss"":""0"",""bkPx"":""82.045"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""21"",""ts"":""1788121890093""}"
2026-08-30T20:31:51.345800Z,1788121910156,ICP-USDT-SWAP,sell,long,51202,2.429,"{""bkLoss"":""0"",""bkPx"":""2.429"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""51202"",""ts"":""1788121910156""}"
2026-08-30T20:31:53.463349Z,1788121912501,DOGE-USDT-SWAP,sell,long,3.97,0.08523,"{""bkLoss"":""0"",""bkPx"":""0.08523"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""3.97"",""ts"":""1788121912501""}"
2026-08-30T20:31:53.914905Z,1788121912654,XRP-USDT-SWAP,sell,long,20.59,1.3992,"{""bkLoss"":""0"",""bkPx"":""1.3992"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""20.59"",""ts"":""1788121912654""}"
2026-08-30T20:31:53.926941Z,1788121912671,XPL-USDT-SWAP,sell,long,160,0.0877,"{""bkLoss"":""0"",""bkPx"":""0.0877"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""160"",""ts"":""1788121912671""}"
